doc_id,section_id,corpus_type,y10_rep_v5
36383edb1b72a168d2e170297c730eecf2af9f0dd9de1877698ff75c82aa487e,HECHOS,A-CE,0.0
36383edb1b72a168d2e170297c730eecf2af9f0dd9de1877698ff75c82aa487e,CONSIDERACIONES,A-CE,0.7429054054054055
36383edb1b72a168d2e170297c730eecf2af9f0dd9de1877698ff75c82aa487e,DECISIÓN,A-CE,0.0
36cd99c4ff64b1c3b87547f819934c3f99fe7caad8b57f7ae12f93d9be36e76f,CONSIDERACIONES,A-CSJ,0.0
3740f9b9c39523eeb834166b9ebafecee126cfeff75ab2ca77b844d56a2f1561,CONSIDERACIONES,A-CSJ,0.7534246575342468
3740f9b9c39523eeb834166b9ebafecee126cfeff75ab2ca77b844d56a2f1561,DECISIÓN,A-CSJ,0.0
385d059d4b3909a5c44affea556ec2342cf8975a17920305723334c1bbecf59c,HECHOS,A-CSJ,0.0
385d059d4b3909a5c44affea556ec2342cf8975a17920305723334c1bbecf59c,CONSIDERACIONES,A-CSJ,0.0
385d059d4b3909a5c44affea556ec2342cf8975a17920305723334c1bbecf59c,DECISIÓN,A-CSJ,0.0
3a3a50b4d65142e832cfcccb04be2ac09c81521d58f1e0073029224e7091263e,HECHOS,A-CSJ,0.5447560975609763
3a3a50b4d65142e832cfcccb04be2ac09c81521d58f1e0073029224e7091263e,DECISIÓN,A-CSJ,0.7852941176470587
3a3a50b4d65142e832cfcccb04be2ac09c81521d58f1e0073029224e7091263e,DECISIÓN,A-CSJ,0.7852941176470587
3a6ef04fd3f8e8b5d900d5bb2c2504de978271867dda71d30dc38a036128156d,CONSIDERACIONES,A-CSJ,0.2616279069767442
3a6ef04fd3f8e8b5d900d5bb2c2504de978271867dda71d30dc38a036128156d,DECISIÓN,A-CSJ,0.0
3a767d97c18ee6f954fd3890e221c40e75e5b1ab7f7cdeff2605e4137eef9fc4,CONSIDERACIONES,A-CE,0.48808933002481375
3a767d97c18ee6f954fd3890e221c40e75e5b1ab7f7cdeff2605e4137eef9fc4,HECHOS,A-CE,0.6509433962264147
3a767d97c18ee6f954fd3890e221c40e75e5b1ab7f7cdeff2605e4137eef9fc4,CONSIDERACIONES,A-CE,0.48808933002481375
3a767d97c18ee6f954fd3890e221c40e75e5b1ab7f7cdeff2605e4137eef9fc4,DECISIÓN,A-CE,0.7173913043478259
3d645ce0e1168ecb31ac658c07fb6c9e365f0e2909bb3cd2569efb56fd2d24d1,CONSIDERACIONES,A-CE,0.511061946902655
3d645ce0e1168ecb31ac658c07fb6c9e365f0e2909bb3cd2569efb56fd2d24d1,HECHOS,A-CE,0.5019230769230767
3d645ce0e1168ecb31ac658c07fb6c9e365f0e2909bb3cd2569efb56fd2d24d1,DECISIÓN,A-CE,0.24107142857142855
3d645ce0e1168ecb31ac658c07fb6c9e365f0e2909bb3cd2569efb56fd2d24d1,DECISIÓN,A-CE,0.24107142857142855
3e95682f11cf6ecb4035ede13db44222259e4435d2496fc1b4db6d7116f0719e,HECHOS,A-CE,0.0
3e95682f11cf6ecb4035ede13db44222259e4435d2496fc1b4db6d7116f0719e,DECISIÓN,A-CE,0.0
3f6c6c737fa1ae5e63042d957530f03381e611b738d5523bf476ec3b8d09fcb2,CONSIDERACIONES,A-CE,0.4122641509433965
3f6c6c737fa1ae5e63042d957530f03381e611b738d5523bf476ec3b8d09fcb2,DECISIÓN,A-CE,0.0
4057d1ad8f86b3cf45f48245afda19ddad651c832f0e0a27bc46951dd4633a05,CONSIDERACIONES,A-CSJ,0.15714285714285714
4057d1ad8f86b3cf45f48245afda19ddad651c832f0e0a27bc46951dd4633a05,DECISIÓN,A-CSJ,0.0
40bb3c6463aa058307d957077863c81b95dcfda8bb9243a3e8fa8d88a77093c2,CONSIDERACIONES,A-CSJ,0.0
40bb3c6463aa058307d957077863c81b95dcfda8bb9243a3e8fa8d88a77093c2,DECISIÓN,A-CSJ,0.0
41ceffd00ab85e79bd74b881369a4692faafec9edba1ff9fa47478b01766fa47,HECHOS,A-CE,0.5585294117647058
41ceffd00ab85e79bd74b881369a4692faafec9edba1ff9fa47478b01766fa47,DECISIÓN,A-CE,0.3673076923076922
424b3b2ff0d91d37da11bcc93a53cd3803a0dad5015fe25a9f1da7bcf8791f84,HECHOS,A-CE,0.48267477203647496
424b3b2ff0d91d37da11bcc93a53cd3803a0dad5015fe25a9f1da7bcf8791f84,DECISIÓN,A-CE,0.0
42adec3d5f421c720e88988a4fd62cd8d435fb45bc65e5b9973ce3cf18b097cb,HECHOS,A-CE,0.3270000000000001
42adec3d5f421c720e88988a4fd62cd8d435fb45bc65e5b9973ce3cf18b097cb,CONSIDERACIONES,A-CE,0.3618750000000005
42adec3d5f421c720e88988a4fd62cd8d435fb45bc65e5b9973ce3cf18b097cb,DECISIÓN,A-CE,0.0
44413afc8bd69f07cac4603aac3b7b2ffae23532691be889d1327fc5a8d00746,HECHOS,A-CSJ,0.0
44413afc8bd69f07cac4603aac3b7b2ffae23532691be889d1327fc5a8d00746,DECISIÓN,A-CSJ,0.0
456b33c2da9d55d55ffeab01054cd4970a716a90384a2477f1dc700e4ee026df,CONSIDERACIONES,A-CE,0.0
456b33c2da9d55d55ffeab01054cd4970a716a90384a2477f1dc700e4ee026df,CONSIDERACIONES,A-CE,0.0
466c0f272f36469e055db65ae0206ba67019ddac5bbc07dedac8e0b0e58ad67a,HECHOS,A-CSJ,0.0
466c0f272f36469e055db65ae0206ba67019ddac5bbc07dedac8e0b0e58ad67a,CONSIDERACIONES,A-CSJ,0.0
