unidad,corpus,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep,y1_ebi_z,y2_sa_z,y4_nv_z,y8_mafapo_cs_z,y9_cidh_cs_z,y10_rep_z,DIS,IEI_A,IEI_B
0d799109865a_HECHOS_1,A,0.0,1.0,0.2778,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.5301596152811352,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.5757445009527877,0.5906431956254669
0d799109865a_HECHOS_2,A,0.0,1.0,0.0,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.5094877691206959,0.535429252432057
0d799109865a_HECHOS_3,A,0.0,1.0,0.5833,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.7571460727416668,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.6438404381909473,0.6473898099905997
0d799109865a_HECHOS_4,A,0.0,1.0,1.0,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.9257617612922469,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.6944251447561213,0.6895437321282447
0d799109865a_HECHOS_5,A,0.0,1.0,1.0,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.9257617612922469,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.6944251447561213,0.6895437321282447
0d799109865a_DECISIÓN_1,A,0.0,1.0,1.0,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.6188916609807404,0.9257617612922469,0.5120627271902847,0.508309784312134,0.34711492262946964,0.5491794744527481,0.6350465545574281,0.6427137200322867
0d799109865a_HECHOS_6,A,0.0,1.0,0.1481,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.4229464132668852,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.5435805403485128,0.5638398951219044
0d799109865a_DECISIÓN_2,A,0.0,1.0,0.4123,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.6188916609807404,0.6383542073708626,0.5120627271902847,0.508309784312134,0.34711492262946964,0.5491794744527481,0.5488242883810128,0.5708618315519406
0d799109865a_DECISIÓN_3,A,0.0,1.0,0.5595,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.6188916609807404,0.7422929069209265,0.5120627271902847,0.508309784312134,0.34711492262946964,0.5491794744527481,0.580005898246032,0.5968465064394566
0d799109865a_HECHOS_7,A,0.0,0.4333,0.0,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.14763736810135245,0.3093038425074956,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.40780318658893167,0.5094877691206959,0.535429252432057
0d799109865a_HECHOS_8,A,0.0,0.6352,0.1288,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.2777042049049368,0.4073586967360673,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.446823237630007,0.5389042253892674,0.5599429659891998
0d799109865a_DECISIÓN_4,A,0.0,0.8058,0.0,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.4299345425321087,0.3093038425074956,0.5120627271902847,0.508309784312134,0.34711492262946964,0.4924923389181586,0.45010917892200275,0.4885992403360989
0d799109865a_HECHOS_9,A,0.0,1.0,0.3333,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.5757663789240094,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.58942653004565,0.6020448865361854
0d799109865a_DECISIÓN_5,A,0.0,1.0,0.1852,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.6188916609807404,0.4533191992754129,0.5120627271902847,0.508309784312134,0.34711492262946964,0.5491794744527481,0.49331378595237796,0.5246030795280782
0dbbebfd3378_HECHOS_0,A,1.424581005586592,1.0,0.375,0.175383448600769,0.2460252046585083,0.0,0.8704978594871371,0.6188916609807404,0.6092454572912558,0.35780855059691874,0.47462159325924763,0.34711492262946964,0.7297321653002361,0.46828353540391854,0.5088863432908075
0dbbebfd3378_CONSIDERACIONES_0,A,0.0,1.0,0.1566,0.1640225648880005,0.2285987138748169,0.0,0.41911613236841694,0.6188916609807404,0.42986239930882475,0.3034584399842264,0.368748535176325,0.34711492262946964,0.5491794744527481,0.3609666563392355,0.42126728109066136
0dbbebfd3378_DECISIÓN_0,A,0.0,0.52,0.0,0.2376773357391357,0.2448464035987854,0.0,0.41911613236841694,0.1961009823266706,0.3093038425074956,0.6822097721176347,0.46727359800431933,0.34711492262946964,0.4223422708565271,0.5058571410005983,0.5293843072373502
0ed77f2cfbb0_HECHOS_0,A,2.4884792626728114,1.0,1.0,0.1523600220680236,0.2047284245491027,0.0,0.9726707318674518,0.6188916609807404,0.9257617612922469,0.252861448067789,0.24327758802855795,0.34711492262946964,0.770601314252362,0.45185638402335704,0.49869528722464396
0ed77f2cfbb0_CONSIDERACIONES_0,A,0.2014173815740395,1.0,0.3274,0.2001519799232483,0.2448062300682068,0.0,0.49728522353872484,0.6188916609807404,0.5709651639008034,0.487857005009347,0.4670234101828223,0.34711492262946964,0.5804471109208712,0.5065393742288264,0.5364312604978165
0ed77f2cfbb0_DECISIÓN_0,A,0.0,0.8667,0.0,0.2151415944099426,0.2893388867378235,0.0,0.41911613236841694,0.4896008763830013,0.3093038425074956,0.5685615882198954,0.7275151459054466,0.34711492262946964,0.5103922390734263,0.5384703318118409,0.5603502390433103
1017bb4b8803_HECHOS_0,A,3.7777777777777777,1.0,0.5938,0.2123857736587524,0.2716879844665527,0.0,0.9962859909194182,0.6188916609807404,0.7635111285718901,0.5538685559735171,0.6319168302564103,0.34711492262946964,0.7800474178731486,0.6401758100378969,0.6455945719732362
1017bb4b8803_CONSIDERACIONES_0,A,0.3220035778175313,1.0,0.553,0.1846451163291931,0.2323975563049316,0.0,0.5443960199759009,0.6188916609807404,0.738134808298507,0.4050786890201562,0.39113418897963353,0.34711492262946964,0.5992914294957417,0.5008121747915046,0.534417871499688
1017bb4b8803_DECISIÓN_0,A,0.0,0.5571,0.0,0.2704799771308899,0.2993080615997314,0.0,0.41911613236841694,0.2202306364657934,0.3093038425074956,0.8136969193818905,0.774075360594007,0.34711492262946964,0.4295811670982639,0.650492528683207,0.6455308920640488
101c3e12caf1_CONSIDERACIONES_0,A,0.3310852237890864,1.0,0.3524,0.1877030134201049,0.2357869148254394,0.0,0.5479225524458464,0.6188916609807404,0.5912071504544983,0.4211301062340966,0.4115043834803391,0.34711492262946964,0.6007020424837198,0.46926550267408984,0.5075939308280444
101c3e12caf1_DECISIÓN_0,A,0.0,0.832,0.0,0.2567518353462219,0.2815765142440796,0.0,0.41911613236841694,0.4554571198795302,0.3093038425074956,0.7644009614425132,0.6873688940365873,0.34711492262946964,0.500149112122385,0.6047622055402302,0.6090654880428807
106207e34d1f_DECISIÓN_0,A,0.0,1.0,0.0,0.2339910268783569,0.2741550803184509,0.90625,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.6646591684584183,0.6461531692118229,0.9464547724273565,0.369377519513382,0.5525007708991629,0.4489710489818838
11c114614955_CONSIDERACIONES_0,A,0.059008654602675,1.0,0.3651,0.2222058176994323,0.2824698090553283,0.0,0.44177560948436084,0.6188916609807404,0.601377302143033,0.6056216556199718,0.6921513290040872,0.34711492262946964,0.5582432652991256,0.6303072515921249,0.6356456699468777
11c114614955_DECISIÓN_0,A,0.0,1.0,0.0,0.2268676161766052,0.2579812407493591,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.6294564093450067,0.549221006106979,0.34711492262946964,0.5491794744527481,0.5093400183223451,0.5340451504312267
11c114614955_DECISIÓN_1,A,0.0,0.3714,0.0,0.2268676161766052,0.2579812407493591,0.0,0.41911613236841694,0.11944271600405901,0.3093038425074956,0.6294564093450067,0.549221006106979,0.34711492262946964,0.3993447909597436,0.5093400183223451,0.5340451504312267
128907d4b8ab_HECHOS_0,A,0.0,1.0,0.1008,0.1765409708023071,0.2216670513153076,0.0,0.41911613236841694,0.6188916609807404,0.3850794982197288,0.3635879853071793,0.32937555866930834,0.34711492262946964,0.5491794744527481,0.3597717111895829,0.4182671752885191
128907d4b8ab_CONSIDERACIONES_0,A,0.0,1.0,0.2564,0.2362434267997741,0.2721015810966491,0.0,0.41911613236841694,0.6188916609807404,0.5123958154212979,0.6754408119583271,0.6343203716497386,0.34711492262946964,0.5491794744527481,0.6141911809046418,0.6198883058293633
128907d4b8ab_DECISIÓN_0,A,0.0,0.78,0.0,0.2281113266944885,0.2796282172203064,0.0,0.41911613236841694,0.40515971731682177,0.3093038425074956,0.6357153351459498,0.6767997417433934,0.34711492262946964,0.4850598913535724,0.5501172093336466,0.5678175120806133
12c68e398fa4_CONSIDERACIONES_0,A,0.0119462419113987,1.0,0.8317,0.1360500454902649,0.1722828149795532,0.64391891891892,0.4236792602280295,0.6188916609807404,0.8769060185062606,0.1920778694598672,0.12493103195559416,0.865053713651085,0.39562308829010845,0.3773822629225033,0.33507188072320687
12c68e398fa4_DECISIÓN_0,A,0.0,0.65,0.0,0.1778882145881652,0.223412811756134,0.7673076923076924,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.37036452398260516,0.3390940641376935,0.9117335262468039,0.28100020965546296,0.3426651815865988,0.290862128606718
1416ae13e1f4_DECISIÓN_0,A,0.0,0.65,0.0,0.1945481300354004,0.2475891709327697,0.9964285714285714,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.4576218398990348,0.48438695046781466,0.9616119436627814,0.26603668443066975,0.42115597385220704,0.34338686148098174
143256801fef_CONSIDERACIONES_0,A,0.2353966870095902,1.0,0.5294,0.2358390092849731,0.2723278403282165,0.25,0.5105917388384339,0.6188916609807404,0.7226783468660366,0.6735182107953279,0.6356324189969156,0.5829412730403362,0.5150218119174949,0.6769005140770168,0.6250449000962691
143256801fef_DECISIÓN_0,A,0.0,1.0,0.0,0.3341352343559265,0.3682382702827453,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.9454490383104147,0.9505469151338646,0.34711492262946964,0.5491794744527481,0.7561348426165739,0.7291744163775705
154480cd4a51_HECHOS_0,A,0.1169590643274853,1.0,0.3951,0.1839845776557922,0.2448161840438842,0.0,0.46426778663585605,0.6188916609807404,0.6250428798914933,0.4016366667375688,0.4670853987997146,0.34711492262946964,0.5672401361597237,0.4882931503023899,0.5241000851681787
154480cd4a51_CONSIDERACIONES_0,A,0.4573351811522471,1.0,0.4946,0.2348383069038391,0.277729332447052,0.6095890410958903,0.5962984865244931,0.6188916609807404,0.6988897594166588,0.6687358183096851,0.6663217911147752,0.8487949927710055,0.4695483950727178,0.6770577924833042,0.5721646345715629
154480cd4a51_DECISIÓN_0,A,0.0,0.65,0.0,0.2762581706047058,0.3037660121917724,0.0,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.8319242945133498,0.7929828484857554,0.34711492262946964,0.4503857907406632,0.6634557251033153,0.6557259765764237
15a84895577a_CONSIDERACIONES_0,A,0.3926320891904993,1.0,0.1333,0.1712948679924011,0.2348459362983703,0.6401315789473689,0.5716780164545915,0.6188916609807404,0.4109777203802947,0.3377320460441578,0.40581534904457617,0.8633351438865702,0.4553381617100877,0.38013073924512436,0.332850852392151
15a84895577a_CONSIDERACIONES_1,A,0.3926320891904993,1.0,1.0,0.1712948679924011,0.2348459362983703,0.6401315789473689,0.5716780164545915,0.6188916609807404,0.9257617612922469,0.3377320460441578,0.40581534904457617,0.8633351438865702,0.4553381617100877,0.53456595151871,0.46154686262013905
15a84895577a_DECISIÓN_0,A,0.6153846153846154,1.0,0.202,0.1686159372329712,0.2329683303833007,0.4847560975609755,0.6542261811668251,0.6188916609807404,0.4672022151077454,0.32488239637543215,0.3945401911680468,0.7760031711928507,0.514557019403097,0.3884756804329105,0.3576996862430075
1969b99d5165_HECHOS_0,A,0.376263571695994,1.0,0.5,0.2052150964736938,0.2650902867317199,0.0,0.5653877538822226,0.6188916609807404,0.7026566481648343,0.5152574801696608,0.592759043955211,0.34711492262946964,0.6076881230582704,0.594727699703878,0.6090081825550157
1969b99d5165_DECISIÓN_0,A,0.0,1.0,0.0,0.2227383852005005,0.2715342044830322,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.6083725174069629,0.6310214847586855,0.34711492262946964,0.5491794744527481,0.5254466051426395,0.5481701025127402
1969b99d5165_DECISIÓN_1,A,0.0,0.78,0.0,0.2227383852005005,0.2715342044830322,0.0,0.41911613236841694,0.40515971731682177,0.3093038425074956,0.6083725174069629,0.6310214847586855,0.34711492262946964,0.4850598913535724,0.5254466051426395,0.5481701025127402
1b2f8e6c0f9f_CONSIDERACIONES_0,A,0.0698324022346368,1.0,0.0,0.1734085083007812,0.2144520878791809,0.8286585365853657,0.4459613200331619,0.6188916609807404,0.3093038425074956,0.3480432909948774,0.29079629610381236,0.9290505466179511,0.38533686232210157,0.31924735798134335,0.2686279126277
1b2f8e6c0f9f_DECISIÓN_0,A,0.0,1.0,0.0285,0.1943843960762024,0.2385753393173217,0.2846385542168674,0.41911613236841694,0.6188916609807404,0.32991609394315113,0.45674201732284747,0.4284967530031004,0.6150965089024975,0.46878499857083966,0.41022066101301446,0.4036065151529177
1cdfc83e3657_HECHOS_0,A,0.6936416184971098,1.0,0.7083,0.2586327791213989,0.3071120977401733,0.0,0.6814116801735698,0.6188916609807404,0.8253372676091726,0.7716565492647228,0.8063889134219957,0.34711492262946964,0.6540976935748092,0.7981804740152396,0.770005525511315
1cdfc83e3657_DECISIÓN_0,A,0.0,1.0,0.0,0.2778316736221313,0.3238439559936523,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.8366345457344961,0.8635771899638058,0.34711492262946964,0.5491794744527481,0.6865181280351889,0.6747876373122802
1d59753be972_CONSIDERACIONES_0,A,0.0,1.0,0.3403,0.356445848941803,0.3812864422798157,0.1517857142857143,0.41911613236841694,0.6188916609807404,0.5814441731618786,0.965630471372984,0.9638222148560723,0.4887823523152237,0.5066792455470218,0.849832104954579,0.7782492679533382
1d59753be972_DECISIÓN_0,A,0.0,0.65,0.0,0.2448290586471557,0.3041402101516723,0.0,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.7147975694811203,0.7945155013638501,0.34711492262946964,0.4503857907406632,0.6170648309538518,0.6209711222862786
1d827284136d_DECISIÓN_0,A,0.0,0.3071,0.0,0.2116666436195373,0.2769454717636108,0.0,0.41911613236841694,0.09520623270975453,0.3093038425074956,0.5500178023672548,0.6619473690337698,0.34711492262946964,0.39207384597145223,0.5113824844092816,0.5383951590695989
