doc_id,corpus,subcorpus,year,radicado,tipo_accion,decision,magistrado_ponente,sala_seccion,fecha_sentencia,fecha_hechos,departamento_hechos,municipio_hechos,batallon,secciones_identificadas,n_secciones,n_chars,y8_mafapo,y9_cidh,y2_sa,y10_rep,compareciente,rango,icm_v3,deteccion_facial
b8a72e19d5adaa62d941…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,17486,0.198,0.243,0.858,0.000,—,—,—,—
b9f9fd4aa5c362101ccb…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,10373,0.185,0.231,1.000,0.202,—,—,—,—
ba28871aa5e3de1f269f…,A-CE,CE,2007,05001-23-31-000-2007-00013-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],13 de diciembre de 2005,14 de diciembre de 2007,Antioquia,Santa,,CONSIDERACIONES | HECHOS | DECISIÓN,3,24798,0.236,0.272,0.775,0.202,—,—,—,—
bad2a966a35b0bacf4f0…,A-CE,CE,2006,05001-23-31-000-2006-00039-01,Acción de Reparación Directa,Condena,Magistrado,[extraer de PDF],8 de julio de 2009,23 de agosto de 2010,Antioquia,Caicedo,,HECHOS | DECISIÓN,2,16000,0.203,0.253,0.987,0.028,—,—,—,—
bb30a038bca732234244…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,13183,0.236,0.281,1.000,0.054,—,—,—,—
bc32651c079994f34e27…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,9122,0.201,0.238,1.000,0.000,—,—,—,—
bcd333ff5277c3fd606f…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,8973,0.187,0.221,0.871,0.000,—,—,—,—
bce62fa6635eb9c1ccd8…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CARGOS | CONSIDERACIONES | DECISIÓN,4,41083,0.170,0.216,0.927,0.100,—,—,—,—
bd84e0e05af15669b4ec…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | DECISIÓN | CONSIDERACIONES | CARGOS,4,156996,0.217,0.239,0.879,0.040,—,—,—,—
bdc843a5729f89c090c9…,A-CE,CE,2020,11001-03-15-000-2020-00437-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],23 de julio de 2019,28 de agosto de 2014,Huila,Planadas,,CONSIDERACIONES | DECISIÓN,2,10318,0.241,0.265,0.767,0.000,—,—,—,—
