archivo,radicado,n_expediente,year_radicado,tipo_accion,decision,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,batallon_mencionado,n_chars
AP176-2018(48912).txt,AP176-2018,48912,,,,,7 de enero de 2016,18 de abril de 2006,Concepcin,Antioquia,,19500
AP1832-2017(46415).txt,AP1832-2017,46415,,,,,10 de marzo de 2015,22 de marzo de 2006,,Huila,,18444
AP200-2015(35423).txt,AP200-2015,35423,,,,,26 de mayo de 2005,11 de enero de 2008,,Antioquia,,73472
AP2047-2020(55854).txt,AP2047-2020,55854,,,,,10 de febrero de 2014,21 de noviembre de 2007,Ocaa,Norte de Santander,,16243
AP2205-2014(42419).txt,AP2205-2014,42419,,,,,29 de diciembre de 2004,13 de diciembre de 2011,,Antioquia,,42474
AP2463-2019(46900).txt,AP2463-2019,46900,,,,,19 de octubre de 2007,18 de noviembre de 2010,,Santander,,17007
AP2471-2016(46921).txt,AP2471-2016,46921,,,,,21 de junio de 2007,27 de junio de 2007,Montelbano,,,26572
AP2534-2016(47316).txt,AP2534-2016,47316,,,,,25 de agosto de 2005,7 de agosto de 2005,,Antioquia,,54441
AP2578-2017(49790).txt,AP2578-2017,49790,,,,,25 de agosto de 2007,25 de agosto de 2007,Totor,,,17460
AP2579-2015(43126).txt,AP2579-2015,43126,,,,,17 de enero de 2013,14 de mayo de 2010,Tiquisio,,,44791
AP2606-2020(58002).txt,AP2606-2020,58002,,,,,24 de marzo de 2019,23 de septiembre de 2019,Corozal,Sucre,,11049
