audio,bloque_id,chars,subcaso,fecha,tipo,y2_sa,y4_nv,y10_rep,n_sa,n_nv,n_rep
casanare,casanare_c0097,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,10.0,0.0,0.0
casanare,casanare_c0098,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,16.0,2.0,0.0
casanare,casanare_c0099,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,12.0,0.0,0.0
casanare,casanare_c0100,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,12.0,0.0,0.0
casanare,casanare_c0101,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,13.0,1.0,0.0
casanare,casanare_c0102,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,10.0,2.0,0.0
casanare,casanare_c0103,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,3.0,0.0,0.0
casanare,casanare_c0104,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,16.0,0.0,0.0
casanare,casanare_c0105,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,1.0,16.0,1.0,1.0
casanare,casanare_c0106,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,20.0,4.0,0.0
casanare,casanare_c0107,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,1.0,11.0,3.0,1.0
casanare,casanare_c0108,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,10.0,0.0,0.0
casanare,casanare_c0109,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,11.0,2.0,0.0
casanare,casanare_c0110,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,9.0,1.0,0.0
casanare,casanare_c0111,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,9.0,0.0,0.0
casanare,casanare_c0112,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,14.0,1.0,0.0
casanare,casanare_c0113,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,1.0,19.0,5.0,1.0
casanare,casanare_c0114,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,22.0,3.0,0.0
casanare,casanare_c0115,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,17.0,2.0,0.0
casanare,casanare_c0116,1998.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,10.0,0.0,0.0
casanare,casanare_c0117,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,16.0,0.0,0.0
casanare,casanare_c0118,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.3704,0.0,16.0,2.0,0.0
casanare,casanare_c0119,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.2576,0.0,12.0,2.0,0.0
catatumbo,catatumbo_c0000,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1667,0.0,9.0,1.0,0.0
catatumbo,catatumbo_c0001,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.5579,0.1111,0.2833,6.0,1.0,2.0
catatumbo,catatumbo_c0002,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.881,0.2679,11.0,4.0,1.0
catatumbo,catatumbo_c0003,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1296,0.0,9.0,1.0,0.0
catatumbo,catatumbo_c0004,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.3704,0.2083,13.0,2.0,1.0
catatumbo,catatumbo_c0005,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,1.0,0.0,15.0,5.0,0.0
catatumbo,catatumbo_c0006,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,1.0,0.0,12.0,6.0,0.0
catatumbo,catatumbo_c0007,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1515,0.0,13.0,1.0,0.0
catatumbo,catatumbo_c0008,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.215,0.0389,0.0,5.0,1.0,0.0
catatumbo,catatumbo_c0009,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.1108,0.0,0.0,3.0,0.0,0.0
catatumbo,catatumbo_c0010,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.3526,0.2632,0.0,5.0,3.0,0.0
catatumbo,catatumbo_c0011,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,0.6444,0.5,0.0,4.0,3.0,0.0
catatumbo,catatumbo_c0012,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.6667,0.0,7.0,2.0,0.0
catatumbo,catatumbo_c0013,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1852,0.0,10.0,1.0,0.0
catatumbo,catatumbo_c0014,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.2083,0.4844,13.0,1.0,2.0
catatumbo,catatumbo_c0015,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.7143,0.8929,7.0,3.0,3.0
catatumbo,catatumbo_c0016,2000.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1852,0.2778,11.0,1.0,1.0
catatumbo,catatumbo_c0017,1999.0,Catatumbo,2022-04-26,audiencia_reconocimiento,1.0,0.1296,0.0,21.0,1.0,0.0
