corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,0835aff2f7b29057,0835aff2f7b29057_b005,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b006,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b007,2000,0.0,0.6667,0.5,0,1,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b008,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b009,2000,0.0,0.3333,0.5,0,2,1,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b010,2000,0.0,0.0,1.0,0,4,0,1,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b011,2000,0.0,0.0,1.0,0,6,0,2,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b012,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b013,2000,0.0,0.0,0.5,0,4,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b014,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b015,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b016,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b017,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b018,2000,0.0,1.0,0.5,0,0,4,0,0,,,,,,,
